destination,origin,size
Australia/New Zealand,Polynesia*,2
Australia/New Zealand,Poland,2
Australia/New Zealand,Philippines,2
Australia/New Zealand,Peru,2
Australia/New Zealand,Paraguay,2
Australia/New Zealand,Papua New Guinea,2
Australia/New Zealand,Panama,2
Australia/New Zealand,Pakistan,2
Australia/New Zealand,Others,2
Australia/New Zealand,Oman,2
Australia/New Zealand,Oceania (excluding Australia and New Zealand),2
Australia/New Zealand,OCEANIA,2
Australia/New Zealand,Portugal,2
Australia/New Zealand,Lao People's Democratic Republic,2
Australia/New Zealand,Land-locked Developing Countries (LLDC),2
Australia/New Zealand,LATIN AMERICA AND THE CARIBBEAN,2
Australia/New Zealand,Kyrgyzstan,2
Australia/New Zealand,Kuwait,2
Australia/New Zealand,Kiribati,2
Australia/New Zealand,Kenya,2
Australia/New Zealand,Kazakhstan,2
Australia/New Zealand,Jordan,2
Australia/New Zealand,Japan,2
Australia/New Zealand,Jamaica,2
Australia/New Zealand,Micronesia,2
Australia/New Zealand,Israel,2
Australia/New Zealand,Isle of Man*,2
Australia/New Zealand,Ireland,2
Australia/New Zealand,Iraq,2
Australia/New Zealand,Iran (Islamic Republic of),2
Australia/New Zealand,Indonesia,2
Australia/New Zealand,India,2
Australia/New Zealand,Iceland,2
Australia/New Zealand,Hungary,2
Australia/New Zealand,Honduras,2
Australia/New Zealand,High-income countries,2
Australia/New Zealand,High-and-upper-middle-income countries,2
Australia/New Zealand,Italy,2
Australia/New Zealand,Mexico,2
Australia/New Zealand,Melanesia,2
Australia/New Zealand,Mauritius,2
Australia/New Zealand,Malta,2
Australia/New Zealand,Mali,2
Australia/New Zealand,Maldives,2
Australia/New Zealand,Malaysia,2
Australia/New Zealand,Malawi,2
Australia/New Zealand,Madagascar,2
Australia/New Zealand,Luxembourg,2
Australia/New Zealand,Lower-middle-income countries,2
Australia/New Zealand,Latin America and the Caribbean,2
Australia/New Zealand,Low-and-middle-income countries,2
Australia/New Zealand,Low-and-Lower-middle-income countries,2
Australia/New Zealand,Lithuania,2
Australia/New Zealand,Libya,2
Australia/New Zealand,Liberia,2
Australia/New Zealand,"Less developed regions, excluding least developed countries",2
Australia/New Zealand,"Less developed regions, excluding China",2
Australia/New Zealand,Less developed regions,2
Australia/New Zealand,Lesotho,2
Australia/New Zealand,Lebanon,2
Australia/New Zealand,Least developed countries,2
Australia/New Zealand,Latvia,2
Australia/New Zealand,Low-income countries,2
