country,degree,betweenness,closeness,pagerank
United Republic of Tanzania,0.30042918454935624,0.0001479946721918011,0.47551020408163264,0.0016742424755400926
Zambia,0.26609442060085836,0.004347343495634157,0.512087912087912,0.0013218580297456799
Anguilla,0.08583690987124463,3.699866804795027e-05,0.43796992481203006,0.001189874830137696
Antigua and Barbuda,0.34334763948497854,0.15079115485175867,0.5495283018867925,0.0020998208439560904
Curaçao,0.24034334763948498,0.00479132751220956,0.5143487858719646,0.0027535958100726784
Dominica,0.2832618025751073,0.013549220561393122,0.5177777777777778,0.0009175736290375683
Dominican Republic,0.6566523605150214,0.02825773272162202,0.6297297297297297,0.002348622761642046
Saint Lucia,0.33476394849785407,0.05281868186078635,0.5521327014218009,0.0011077138282018064
Sint Maarten (Dutch part),0.18025751072961374,0.00479132751220956,0.48643006263048016,0.0028553706518074755
United States Virgin Islands,0.15021459227467812,0.0007029746929110551,0.4198198198198198,0.004213316854034516
Bahamas,0.43776824034334766,0.12259200335454591,0.589873417721519,0.0017293055410323181
Barbados,0.24034334763948498,0.0,0.5010752688172043,0.0010188046203347323
British Virgin Islands,0.15879828326180256,0.0001479946721918011,0.5043290043290043,0.0012564440833839141
Grenada,0.18025751072961374,0.007079078486507818,0.4438095238095238,0.0013113263629345128
Guyana,0.24892703862660945,0.0,0.4623015873015873,0.0007865842920986444
Jamaica,0.31759656652360513,0.000749223027970993,0.4678714859437751,0.0014863688743595917
Montserrat,0.09442060085836909,0.005703961324059,0.439622641509434,0.0006859207374454019
Saint Kitts and Nevis,0.15021459227467812,0.0,0.3896321070234114,0.0014443588579691135
Saint Vincent and the Grenadines,0.18884120171673818,0.0,0.4371482176360225,0.0009063851352797022
Cayman Islands,0.2918454935622318,0.01423030437570914,0.5628019323671497,0.00117633596100471
El Salvador,0.38626609442060084,0.008463445315968625,0.5495283018867925,0.0009682884909402063
Falkland Islands (Malvinas),0.047210300429184546,0.004217848157466331,0.47551020408163264,0.0011088687442316252
Guatemala,0.37768240343347637,0.0001479946721918011,0.5521327014218009,0.0013368819317293524
